LapNumber,LapTime,Compound
19.0,103.069,HARD
20.0,103.029,HARD
21.0,102.679,HARD
22.0,103.298,HARD
23.0,103.861,HARD
24.0,103.614,HARD
25.0,103.618,HARD
26.0,103.218,HARD
27.0,102.855,HARD
28.0,103.006,HARD
29.0,102.913,HARD
30.0,122.861,MEDIUM
31.0,101.927,MEDIUM
32.0,102.27,MEDIUM
33.0,102.105,MEDIUM
34.0,102.021,MEDIUM
35.0,101.861,MEDIUM
36.0,102.009,MEDIUM
37.0,101.765,MEDIUM
38.0,101.441,MEDIUM
39.0,101.732,MEDIUM
40.0,101.371,MEDIUM
41.0,102.367,MEDIUM
42.0,101.573,MEDIUM
43.0,102.202,MEDIUM
44.0,101.857,MEDIUM
45.0,101.517,MEDIUM
46.0,101.764,MEDIUM
47.0,101.675,MEDIUM
48.0,101.318,MEDIUM
49.0,101.596,MEDIUM
50.0,101.386,MEDIUM
51.0,102.06,MEDIUM
52.0,102.909,MEDIUM
53.0,102.483,MEDIUM
54.0,102.762,MEDIUM
55.0,103.001,MEDIUM
56.0,102.791,MEDIUM
1.0,111.967,MEDIUM
2.0,105.391,MEDIUM
3.0,104.757,MEDIUM
4.0,105.423,MEDIUM
5.0,103.736,MEDIUM
6.0,103.644,MEDIUM
7.0,104.94,MEDIUM
8.0,104.28,MEDIUM
9.0,103.724,MEDIUM
10.0,104.188,MEDIUM
11.0,103.57,MEDIUM
12.0,124.136,HARD
13.0,103.183,HARD
14.0,103.099,HARD
15.0,102.693,HARD
16.0,103.071,HARD
17.0,102.415,HARD
18.0,102.46,HARD
19.0,102.481,HARD
20.0,102.777,HARD
21.0,103.587,HARD
22.0,103.214,HARD
23.0,103.732,HARD
24.0,103.454,HARD
25.0,103.234,HARD
26.0,103.95,HARD
27.0,104.066,HARD
28.0,103.4,HARD
29.0,102.904,HARD
30.0,103.039,HARD
31.0,103.683,HARD
32.0,103.953,HARD
33.0,123.196,MEDIUM
34.0,101.238,MEDIUM
35.0,101.63,MEDIUM
36.0,101.541,MEDIUM
37.0,101.838,MEDIUM
38.0,101.57,MEDIUM
39.0,101.497,MEDIUM
40.0,101.289,MEDIUM
41.0,101.432,MEDIUM
42.0,101.665,MEDIUM
43.0,101.806,MEDIUM
44.0,101.574,MEDIUM
45.0,101.969,MEDIUM
46.0,102.036,MEDIUM
47.0,102.097,MEDIUM
48.0,101.953,MEDIUM
49.0,101.555,MEDIUM
50.0,101.626,MEDIUM
